G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,I1,I2,I3,I5,I6,I7,I8,I9,I10,I13,I14,I15,I16,I17,I18,I19,I21,I22,I24,I25,I26,I27,I28,I29,I30,I31,I33,B2,B3,B4,B6,B7,B9,B11,B12,B13,B15,B16,B17,B19,B22,B23,B24,B28,B29,B30,B31,B32,B33,B34,B35,quiz1,quiz2,S1T1_1,S1T1_2,S1T1_3,S1T2_1,S1T2_2,S1T2_3,S1T3_1,S1T3_2,S1T3_3,S1T4_1,S1T4_2,S1T4_3,S1T5_1,S1T5_2,S1T5_3,S2T1_1,S2T1_2,S2T1_3,S2T2_1,S2T2_2,S2T2_3,S2T3_1,S2T3_2,S2T3_3,S2T4_1,S2T4_2,S2T4_3,S2T5_1,S2T5_2,S2T5_3,S3T1_1,S3T1_2,S3T1_3,S3T2_1,S3T2_2,S3T2_3,S3T3_1,S3T3_2,S3T3_3,S3T4_1,S3T4_2,S3T4_3,S3T5_1,S3T5_2,S3T5_3,S4T1_1,S4T1_2,S4T1_3,S4T2_1,S4T2_2,S4T2_3,S4T3_1,S4T3_2,S4T3_3,S4T4_1,S4T4_2,S4T4_3,S4T5_1,S4T5_2,S4T5_3,GF1,GF2,GF3,GF4,GF5,GF6,GF7,GF8,GF9,GF10,GF11,GF12,GF13,GF14,GF15,GF16,GF17,GF18,GF19,GF20,GF21,GF22,GF23,GF24,GF25,GF26,GF27,GF28,GF29,GF30,GF31,GF32,GF33,GF34,GF35,GF36,GF37,GF38,GF39,GF40,GF41,GF42,GF43,GF44,GF45,GF46,GF47,GF48,GF49,GF50,GF51,GF52,GF53,GF54,GF55,GF56,GF57,GF58,GF59,GF60,Age,Gender,Ethnicity,Ethnicity_6_TEXT,end_open,Best_effort_2,Feedback,PROLIFIC_PID,Quiz
4,2,4,4,4,2,5,3,2,4,1,2,4,1,2,3,4,2,1,2,4,4,2,3,5,2,1,4,2,3,2,2,2,2,3,2,4,2,2,1,4,1,2,5,2,2,2,2,4,1,1,1,1,3,2,4,1,2,2,1,1,1,1,1,1,1,1,2,1,4,4,4,4,4,2,3,1,1,4,4,5,5,5,4,4,1,1,1,1,2,2,1,2,2,1,1,4,2,4,1,1,1,1,1,1,1,4,1,1,2,1,1,"1,4",2,1,3,3,2,1,3,2,1,1,3,2,3,2,1,2,1,3,3,2,1,2,3,1,3,2,1,3,2,1,2,1,3,2,1,3,2,1,3,1,2,3,3,2,1,1,2,3,3,1,2,1,3,2,2,1,3,3,1,2,3,2,1,1,2,3,1,2,3,1,3,2,1,2,3,2,1,3,2,3,1,1,3,2,1,2,3,1,2,3,3,2,1,2,1,3,1,2,3,2,1,3,2,1,3,1,2,3,1,2,3,1,3,2,2,1,3,2,1,3,31,Female ,1,,The influence tactics you would most likely use on someone. ,1,,66bf619d09f15a66ca17b23d,
4,4,5,4,5,3,4,2,1,4,2,4,5,2,3,3,4,2,2,2,1,4,3,2,4,1,2,4,3,3,4,2,1,5,4,2,1,2,2,4,3,2,1,3,2,3,2,3,2,2,3,2,2,3,2,4,3,2,2,2,2,3,1,4,2,2,1,1,3,4,4,5,4,4,5,4,5,3,4,5,5,5,4,5,4,2,4,3,3,4,5,2,3,4,1,1,3,4,2,3,2,2,1,1,3,2,4,3,2,3,3,1,"1,3,4",3,1,2,3,2,1,2,3,1,1,3,2,1,3,2,3,1,2,2,3,1,3,2,1,3,2,1,2,1,3,1,2,3,1,3,2,1,2,3,1,2,3,2,3,1,1,2,3,2,3,1,2,3,1,3,2,1,3,1,2,2,1,3,1,2,3,1,3,2,3,2,1,2,1,3,3,1,2,3,1,2,2,1,3,3,1,2,3,1,2,1,3,2,1,2,3,2,3,1,2,1,3,3,1,2,3,2,1,2,3,1,2,3,1,2,1,3,2,1,3,38,Male,1,,Our views when getting someone in work to do something for us and how we would go about it,1,It made me think about myself ,66e7381b679a09a5e859d755,
5,4,4,4,3,2,4,1,3,3,4,2,3,3,1,2,4,3,4,2,3,4,2,3,4,4,2,3,3,2,3,3,2,2,4,4,4,3,2,2,3,3,3,4,2,4,3,2,3,2,2,2,2,2,2,2,3,1,2,2,2,1,1,3,3,3,3,3,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,3,1,2,3,4,2,3,3,2,2,4,4,2,1,2,2,2,2,2,1,4,2,1,4,2,1,"1,3,4",2,1,3,3,2,1,2,3,1,1,3,2,2,3,1,3,2,1,1,2,3,3,2,1,3,2,1,3,1,2,3,2,1,1,3,2,1,2,3,1,2,3,1,3,2,1,2,3,1,3,2,2,3,1,3,1,2,2,1,3,3,2,1,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3,3,1,2,1,2,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,48,Male,1,,"Answer personality based questions, rank the same personality traits afterwards. Respond to questions about how to influence colleagues.",1,,66e2a3e02eef1b60119b135b,
2,4,2,5,4,4,4,5,4,4,4,2,4,2,4,3,2,5,1,2,2,2,1,2,4,2,4,4,4,2,2,1,2,2,4,2,4,2,2,2,2,4,2,2,1,3,2,4,2,2,2,2,1,1,2,2,1,2,2,2,1,4,1,1,1,1,2,4,2,5,5,5,4,5,5,5,4,2,5,5,5,5,5,4,4,2,2,1,1,4,5,1,4,5,2,1,4,5,1,2,1,1,2,1,3,1,4,1,1,5,1,1,"1,3,4",3,1,2,3,2,1,3,2,1,2,3,1,3,1,2,3,2,1,3,1,2,3,2,1,2,3,1,3,1,2,3,2,1,1,3,2,1,2,3,1,2,3,3,1,2,1,2,3,1,3,2,1,3,2,1,2,3,3,1,2,2,1,3,2,3,1,3,1,2,2,1,3,2,3,1,1,3,2,3,1,2,1,2,3,3,2,1,1,2,3,1,3,2,3,1,2,1,2,3,3,2,1,2,1,3,2,3,1,1,3,2,1,3,2,1,3,2,2,1,3,25,MALE,3,,"I was asked about my personality traits, then asked how I feel about ways of influencing people, then asked to rank these against each other",1,,5b4038c63d066d0001608c1a,
4,5,4,2,4,4,2,1,3,1,5,2,2,3,4,2,2,3,4,2,4,2,4,4,3,5,3,2,2,4,4,5,4,2,2,2,3,4,2,2,4,4,2,3,4,5,3,3,2,2,4,2,4,4,1,4,5,2,2,2,4,3,2,3,1,2,4,1,2,5,4,4,5,4,3,3,2,2,4,4,4,4,3,3,5,3,2,4,2,2,4,4,2,4,2,2,4,5,3,2,2,1,1,2,5,2,3,2,1,2,2,1,"1,3,4",2,3,1,2,3,1,3,2,1,1,3,2,2,3,1,2,3,1,2,3,1,3,2,1,3,1,2,3,1,2,2,3,1,2,3,1,2,3,1,2,1,3,2,3,1,1,3,2,3,2,1,1,2,3,2,1,3,2,1,3,3,1,2,3,1,2,2,3,1,3,1,2,3,2,1,3,2,1,1,3,2,3,1,2,3,1,2,3,2,1,2,1,3,3,1,2,2,1,3,3,1,2,3,2,1,1,2,3,2,3,1,3,1,2,3,2,1,3,1,2,25,Male,1,,"Answer and rank questions and pertaining to my personality.
Answer and rank questions pertaining to persuasion tactics and my personal preference and likelihood to using them.",1,,648ceb1dd1f7e46aa91b8322,
4,5,5,2,4,2,5,1,4,2,5,2,1,2,1,1,4,2,5,2,4,4,1,4,5,5,4,4,1,2,4,2,4,4,2,4,2,3,2,4,2,3,2,4,2,5,1,4,2,1,2,1,2,4,4,4,1,1,2,2,4,2,1,2,1,2,5,1,1,2,3,5,5,5,4,4,2,2,4,4,4,4,4,2,3,4,4,1,2,2,4,2,1,4,1,1,3,4,1,1,1,1,1,1,2,1,3,3,1,4,3,1,"1,3,4",2,3,1,2,1,3,2,3,1,1,3,2,2,3,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,1,3,2,1,3,2,1,2,3,1,3,2,1,3,2,3,2,1,2,3,1,3,1,2,3,1,2,3,1,2,3,1,2,1,3,2,2,1,3,2,1,3,3,1,2,1,3,2,1,3,2,2,1,3,1,3,2,1,3,2,2,1,3,2,1,3,1,3,2,3,1,2,1,3,2,1,3,2,3,1,2,2,1,3,3,1,2,25,female,4,,"I was asked about my personality scale wise. Then I was asked about how I would get person B to do something scale wise. After, I was asked to pick those situations rank wise (1-3). Finally, I was asked to put personality traits rank wise (1-3).",1,,66e7a85e45c1132f1e2d12b6,
5,2,2,5,3,2,3,1,1,3,4,2,3,3,1,2,4,2,2,1,2,3,4,1,3,3,2,4,2,1,2,2,3,3,4,2,4,2,2,1,2,1,1,1,1,2,3,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,4,4,3,4,1,4,5,3,4,5,3,5,1,1,1,1,1,5,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,"1,3,4",2,1,3,3,2,1,1,2,3,1,3,2,2,3,1,3,2,1,3,2,1,2,3,1,3,2,1,3,1,2,3,1,2,1,2,3,1,3,2,1,2,3,1,3,2,1,2,3,2,3,1,1,3,2,3,1,2,3,1,2,1,2,3,1,2,3,1,3,2,3,1,2,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,1,2,3,1,3,2,2,1,3,1,3,2,3,1,2,2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,1,2,3,56,Female,1,,Complete questions on my personality and rank my preferences in order in relation to getting colleagues to do as I wish.,1, ,594ef8ef6d3780000120d4d9,
4,2,5,4,4,4,3,2,4,2,3,2,3,4,3,3,3,2,2,2,4,3,4,3,4,4,3,3,2,2,3,2,3,2,4,4,5,2,4,1,2,2,1,4,3,3,2,2,3,1,1,2,2,4,3,2,2,2,2,1,2,3,1,1,1,1,2,2,1,4,4,4,3,4,4,4,4,2,4,4,4,4,3,4,4,1,2,1,1,2,4,2,3,4,1,2,3,4,1,1,1,1,1,1,2,3,3,2,1,3,1,1,"1,3,4",3,1,2,3,2,1,3,2,1,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,2,3,1,3,1,2,3,1,2,1,2,3,1,3,2,1,2,3,3,1,2,1,2,3,3,2,1,2,3,1,1,2,3,2,1,3,1,3,2,2,1,3,2,3,1,2,1,3,3,1,2,2,1,3,2,3,1,3,1,2,2,1,3,2,1,3,1,3,2,3,1,2,2,3,1,3,2,1,3,1,2,1,2,3,1,2,3,2,3,1,2,1,3,2,1,3,44,female,1,,"Firstly, I had to rank a series of personality traits for example 'short attention span' from strongly disagree to strongly agree in relation to my personality/thoughts about myself. Secondly I ranked influencing or persuasion  techniques and the likelihood that I would use them in the workplace to influence someone. Thirdly, I ranked a few collections of three persuasion techniques in the order of likelihood that I would use them to influence someone in the workplace.",1,,6158dbe4c49b08ad7be081af,
4,5,5,5,5,4,2,4,4,4,5,4,4,5,4,4,2,3,5,2,4,2,4,5,4,4,5,4,2,5,5,2,4,1,4,4,5,4,5,2,5,4,4,4,4,5,2,4,4,4,4,1,3,4,2,2,1,1,4,4,2,4,1,1,3,2,4,5,2,5,5,4,4,4,2,2,2,2,5,5,5,4,5,5,2,4,2,1,1,3,5,1,4,4,1,1,4,4,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,2,1,3,3,2,1,2,3,1,1,3,2,2,3,1,2,1,3,3,2,1,3,1,2,3,2,1,3,2,1,1,2,3,2,1,3,1,3,2,2,1,3,3,1,2,2,1,3,3,1,2,1,3,2,2,1,3,3,1,2,3,2,1,2,3,1,2,3,1,3,1,2,3,1,2,1,2,3,1,3,2,3,1,2,3,1,2,1,3,2,2,1,3,3,2,1,3,1,2,3,1,2,1,3,2,2,3,1,2,3,1,1,3,2,1,3,2,3,1,2,37,Female,1,,This survey asked me my outlook on influencing people and also rank my outlook and thoughts in order from most applicable to least applicable.,1,"In the middle of this survey the instruction states the next question will be a ranking question, however it was not, it was multiple choice and requires 3 answers being selected which was not made clear. ",66e4970deb6632c346bf3982,
4,5,5,4,5,3,4,4,4,2,4,4,2,5,2,2,4,4,4,4,5,4,4,4,4,5,4,4,1,2,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,2,2,2,2,2,4,4,3,2,4,2,4,4,2,2,1,2,4,4,4,4,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,2,2,1,2,4,4,2,4,5,2,2,4,5,2,4,2,2,5,2,4,2,4,2,2,4,2,1,"1,3,4",2,1,3,3,2,1,2,3,1,1,3,2,1,3,2,2,1,3,3,1,2,3,2,1,3,1,2,3,1,2,3,1,2,1,3,2,1,3,2,1,2,3,3,2,1,2,1,3,3,2,1,1,3,2,2,1,3,3,1,2,2,3,1,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,3,2,1,1,2,3,1,2,3,1,3,2,1,3,2,3,1,2,1,2,3,1,2,3,3,2,1,1,3,2,1,2,3,1,2,3,1,3,2,1,2,3,27,Male,1,,Personality traits and influence tactics,1,,6636dacacb363670ddb95ff7,
