ID,Block,Mean,SD,RC,CVI
1,P1,-0.016129032,1.311886834,92.43795848,211.7862334
2,P2,1.557377049,1.041226683,52.65692854,216.4364496
3,P3,-1.609375,1.203397142,227.941063,65.40178571
4,P4,-0.734375,1.144235899,144.71876,118.8456633
5,P5,0.983870968,1.408311807,120.9528726,228.8780416
6,P6,1.796875,0.876133053,54.89270031,225.462963
7,P7,1.096774194,1.276646188,116.7316997,210.4780939
8,P8,1.349206349,1.049711637,97.79967717,219.2868445
9,P9,1.603174603,1.055548818,167.5426538,176.1806153
10,P10,0.803278689,1.351784896,239.9131465,138.0252101
11,P11,1.609375,1.135532705,76.86161713,203.1887755
12,P12,1.393442623,1.004634071,127.358863,206.9669118
13,P13,1.444444444,1.074300639,110.2742564,190.3687169
14,P14,2.049180328,0.902334556,114.7724758,156.9907771
15,P15,2.111111111,0.952265738,87.68803518,184.3288177
16,P16,0.540983607,1.259282474,159.9354345,155.255425
17,P17,1.868852459,1.007892353,97.06057259,190.5684901
18,P18,1.603174603,1.040156355,104.8164232,228.0488445
19,P19,1.90625,0.885845484,82.40821161,228.0961134
20,P20,1.483333333,1.241809323,115.0019739,184.9789916
21,P21,2.109375,0.927827083,149.7240865,178.0282738
22,P22,1.032258065,1.100934654,103.8830297,186.2962372
23,P23,1,1.101414887,96.82378648,188.0372716
24,P24,2.063492063,0.820562668,143.7614399,157.8683036
25,P25,1.968253968,0.841815511,139.613295,198.3498087
26,P26,-0.492063492,1.330450031,147.3236209,122.2996516
27,P27,1.370967742,0.979023786,103.9783294,190.2350473
28,P28,1.903225806,0.824018093,52.85234899,229.5440051
29,P29,0.698412698,1.303035174,70.17870138,234.0442126
30,P30,1.238095238,1.117518647,97.84167175,190.8558239
31,P31,1.578125,0.956260699,64.70724369,205.9959975
32,P32,-0.35483871,1.438313837,68.66229408,204.9868101
33,P33,-1,1.390836521,154.3929225,74.2086039
34,P34,2.080645161,0.928569976,101.1802823,237.507697
35,P35,2.177419355,0.820319681,79.31169034,190.6613372
36,P36,-2.203125,1.143368561,198.592241,48.94925958
37,P37,2.095238095,1.253566341,71.44820894,211.8491824
38,P38,1.129032258,1.180217693,52.30161863,172.0982143
40,P39,-1.71875,1.338902061,164.0540109,86.93399235
41,P40,-1.721311475,1.142090883,201.4062001,74.4658801
42,P41,0.327868852,1.150670985,137.0191521,93.21918554
43,P42,0.75,1.309307341,88.61515796,132.1728005
44,P43,-0.161290323,1.119038645,145.727615,139.2857143
45,P44,-0.222222222,1.419273377,171.7957112,166.5940767
46,P45-1,-2.333333333,0.795822426,256.8180024,32.03256303
46,P45-2,-2.409090909,0.666125321,256.8180024,32.03256303
46,P45-3,-2.285714286,1.10194633,256.8180024,32.03256303
47,P46,-2.15625,0.963109218,177.077341,76.8096301
48,P47,-2.403225806,0.585611,179.7757407,38.2921385
